"医 療 機 関 名 称","医療機関所在地",""電話番号","開設者氏名","管理者氏名","備　考"
"日本調剤　八王子南口薬局","〒192－0904 八王子市子安町一丁目１番３号　南口第二ビル１階","042-649-8833","日本調剤　株式会社　代表取締役　三津原　庸介","市川　叶太","薬局現存"
"八王子メロン薬局","〒192－0082 八王子市東町３番１１号　プレイム八王子ビル１階","042-649-9861","株式会社　レンティック中部　代表取締役　半場　裕康","坂本　隆之","薬局現存"
"キジマ調剤薬局","〒192－0904 八王子市子安町二丁目１０番１５号","042-646-3787","みよの台薬局　株式会社　代表取締役　津城　尊利","内藤　誠","薬局現存"
"あおい調剤薬局","〒193－0835 八王子市千人町四丁目２番１７号","042-662-8400","有限会社　三陽薬局　取締役　山内　大輔","齋藤　惠子","薬局現存"
"薬のヒグチ薬局　北八王子店","〒192－0032 八王子市石川町２９６０番地８","042-660-8341","ファーマライズ　株式会社　代表取締役　松浦　惠子","河崎　和子","薬局現存"
"アークス薬局　明神町店","〒192－0046 八王子市明神町四丁目３番９号　クリオ京王八王子ビサイド１０２号","042-643-4101","日本調剤　株式会社　代表取締役　三津原　庸介","土方　智之","薬局現存"
"アイ薬局","〒192－0033 八王子市高倉町２９番地１０　第三エステート吉武１階","042-646-7201","株式会社　あおい薬局　代表取締役　中西　顕士","中西　顕士","薬局現存"
"ニコパン薬局","〒192－0907 八王子市長沼町２７２番地２","042-632-5162","株式会社　ＦＲＥＤ　代表取締役　髙山　俊輝","髙橋　直哉","薬局現存"
"さくら薬局　大和田店","〒192－0045 八王子市大和田町三丁目８番８号","042-643-6616","株式会社　メディックス　代表取締役　松村　有里子","小泉　玲子","薬局現存"
"クリエイト薬局　八王子散田町店","〒193－0832 八王子市散田町三丁目１４番地２０","042-662-1033","株式会社　クリエイトエス・ディー　代表取締役　廣瀨　泰三","柴田　光子","薬局現存"
"アイワ堂薬局","〒190－0023 立川市柴崎町三丁目５番１１号","0425-27-5508","有限会社　愛和医房　代表取締役　平井　有","平井　有","薬局現存"
"サンワ調剤薬局","〒190－0012 立川市曙町二丁目３２番３号　立川三和ビル１階","0425-22-7881","三和薬品　株式会社　梶　春治","加賀美　宏次","薬局現存"
"龍生堂薬局　立川店","〒190－0023 立川市柴崎町二丁目１番５号","0425-27-4555","株式会社　龍生堂本店　代表取締役　関口　周吉","川原　義尚","薬局現存"
"山下薬局　若葉町店","〒190－0001 立川市若葉町一丁目１１番地１８","0425-37-6209","山下メデカル　有限会社　代表取締役　山下　斉","山下　斉","薬局現存"
"シティ薬局","〒190－0001 立川市若葉町三丁目５４番地５","0425-35-4744","有限会社　シティ薬局　取締役　浅野　昌弘","中村　美代子","薬局現存"
"クリーン薬局","〒190－0003 立川市栄町２丁目５９番地の１９","0425-34-5833","有限会社　クリーン薬局　代表取締役　伊佐間　茂樹","伊佐間　茂樹","薬局現存"
"錦町薬局","〒190－0022 立川市錦町一丁目１７番１５号","0425-23-5894","株式会社　地域保健企画　代表取締役　島野　清","伊藤　美夏","薬局現存"
"ファーマシーミント幸町薬局","〒190－0002 立川市幸町五丁目４４番地の１１","042-534-7762","古谷　美穂子","山口　尚子","薬局現存"
"プラザ薬局　立川錦町店","〒190－0022 立川市錦町六丁目２８番３３号　ハイムサンパーク１０４号","042-540-7507","株式会社　プラザメディカル　代表取締役　中嶋　順敬","藤田　政満","薬局現存"
"わかば薬局立川","〒190－0022 立川市錦町四丁目５番２５号　アーバンライフ立川","0425-29-3862","薬樹　株式会社　代表取締役　入江　充","黒澤　博子","薬局現存"
"いながき薬局　立川店","〒190－0002 立川市幸町一丁目１２番地１２","042-538-2588","株式会社　いながき薬局　代表取締役社長　生駒　忠史","山下　慎太郎","薬局現存"
"プラザ調剤薬局","〒190－0032 立川市上砂町一丁目２番地２","042-538-7411","株式会社　プラザメディカル　代表取締役　中嶋　順敬","間部　紀子","薬局現存"
"にしやま薬局","〒190－0022 立川市錦町二丁目７番８号","042-525-9212","有限会社　ドラッグニシヤマ　代表取締役　西山　直孝","西山　直孝","薬局現存"
"いながき薬局　立川栄町店","〒190－0003 立川市栄町六丁目１１番地１１　豊建設ビル１階Ｂ号室","042-538-0321","株式会社　いながき薬局　代表取締役　生駒　忠史","泉谷　真吾","薬局現存"
"トリル薬局本店","〒190－0012 立川市曙町二丁目３４番６号　小杉ビル１階","042-526-3133","株式会社　メディカルトリル　代表取締役　氏家　由美子","武谷　浩美","薬局現存"
"松の木薬局","〒190－0022 立川市錦町三丁目１番３１号　ルネス錦町１階","042-548-8210","株式会社　アビック　代表取締役　山北　勝夫","浦和　美穂","薬局現存"
"あさひ調剤薬局","〒190－0023 立川市柴崎町二丁目１４番２５号","042-526-9679","岩本　雅仁","岩本　雅仁","薬局現存"
"ときわ薬局","〒190－0002 立川市幸町二丁目４６番地４　アネックス三昭１０３号","042-538-7268","有限会社　ネクスト　代表取締役　石原　一生","石原　一生","薬局現存"
"千利薬局","〒190－0031 立川市砂川町七丁目４２番地８","042-538-2188","有限会社　ホット・ワン　代表取締役　細川　千恵","田中　七織","薬局現存"
"ウェルパーク調剤薬局　立川曙町店","〒190－0012 立川市曙町二丁目１３番６号　内野ビル１階","042-540-3666","株式会社　ウェルパーク　代表取締役　島本　和彦","潮田　教明","薬局現存"
"多摩薬局","〒190－0022 立川市錦町一丁目２３番１号","042-528-6100","株式会社　地域保健企画　代表取締役　島野　清","佐々木　敬子","薬局現存"
"柏友堂薬局","〒190－0011 立川市高松町三丁目１３番１５号　日本医薬株式会社立川ビル１階","042-548-7177","株式会社　柏友堂　代表取締役　筒井　建成","堀江　明史","薬局現存"
"トリル薬局　若葉町店","〒190－0001 立川市若葉町四丁目２５番地１　３７号棟１０４","042-538-4630","株式会社　メディカルトリル　代表取締役　氏家　由美子","齋藤　篤","薬局現存"
"まつなか薬局","〒190－0034 立川市西砂町六丁目６番地１９","042-520-7883","有限会社　イノウエ　取締役　佐藤　英生","佐藤　むつみ","薬局現存"
"スマイル薬局　立川店","〒190－0022 立川市錦町一丁目２０番１２号","042-522-0431","株式会社　スマイルドラッグ　代表取締役　北原　直仁","平野　優子","薬局現存"
"さくら薬局　立川店","〒190－0022 立川市錦町一丁目１７番１３号","042-548-0855","株式会社　メディックス　代表取締役　松村　有里子","江田　一樹","薬局現存"
"立川調剤薬局","〒190－0023 立川市柴崎町二丁目１７番１９号　和栄ビル１階","042-522-7176","有限会社　延寿　取締役　倉繁　幸枝","倉繁　幸枝","薬局現存"
"トリル薬局　上砂町店","〒190－0032 立川市上砂町三丁目３０番地３","042-538-7560","株式会社　メディカルトリル　代表取締役　氏家　由美子","佐藤　克美","薬局現存"
"あんず薬局　立川店","〒190－0004 立川市柏町三丁目２３番地４　ハイムフォルトウーナ１０２号","042-537-5441","株式会社　杏朋　代表取締役　田代　雅也","松橋　真実子","薬局現存"
"フィールド薬局　立川店","〒190－0022 立川市錦町三丁目１番地１６　中野ＬＫビル１階","042-528-7205","株式会社　フィールド　代表取締役　生駒　忠史","楠元　亜希子","薬局現存"
"曙町薬局","〒190－0012 立川市曙町二丁目５番１８号　東財曙ビル９階","042-540-1922","有限会社　イノウエ　取締役　佐藤　英生","木下　暢子","薬局現存"
"とんぼ薬局","〒190－0023 立川市柴崎町二丁目１番８号　第２中島ビル１０１","042-524-1212","株式会社　トンボメディカル　代表取締役　上田　とよみ","中嶋　孝","薬局現存"
"西武立川駅前薬局","〒190－0033 立川市一番町二丁目３６番地５０","042-560-0996","有限会社　イノウエ　取締役　佐藤　英生","水野　智美","薬局現存"
"すわ通り調剤薬局","〒190－0023 立川市柴崎町二丁目４番１８号　相川ビル１階","042-569-8070","株式会社　マークシックス　代表取締役　久重　祐一","山川　敏郎","薬局現存"
"森薬局","〒190－0021 立川市羽衣町二丁目４６番２４号　フロンティア１０２","042-529-6223","森　秀雄","森　秀雄","薬局現存"
"クリエイトエス・ディー立川栄町店薬局","〒190－0003 立川市栄町三丁目５番地１","042-548-3136","株式会社　クリエイトエス・ディー　代表取締役　廣瀨　泰三","三根　三和","薬局現存"
"トリル薬局　柏町店","〒190－0004 立川市柏町二丁目１６番４号","042-538-7275","株式会社　メディカルトリル　代表取締役　氏家　由美子","清水　真里","薬局現存"
"若葉町薬局","〒190－0001 立川市若葉町一丁目１１番１０号","042-538-0061","みよの台薬局　株式会社　代表取締役　津城　尊利","ケイタ　亜沙実","薬局現存"
"ウエルシア薬局　立川若葉店","〒190－0001 立川市若葉町三丁目２１番地","042-538-7237","ウエルシア薬局　株式会社　代表取締役　水野　秀晴","菅原　啓資","薬局現存"
"たかまつ調剤薬局","〒190－0011 立川市高松町二丁目２５番２４号　秋嶋ビル１階","042-512-8073","株式会社　プレジール　代表取締役　石原　智恵子","小俣　理","薬局現存"
"マロン薬局にしき店","〒190－0022 立川市錦町四丁目５番３号　丸木ビル１階","042-524-8770","株式会社　まろん　代表取締役　九良賀野　弘久","木島　智子","薬局現存"
"こぶし薬局","〒190－0022 立川市錦町一丁目７番１号","042-540-1461","株式会社　こぶし　代表取締役　上田　とよみ","木歩士　亘之","薬局現存"
"すみれ薬局","〒190－0021 立川市羽衣町二丁目４３番１０号","042-522-0852","株式会社　ゆにいろ　代表取締役　柾　素彦","野﨑　義則","薬局現存"
"さつき薬局　立川店","〒190－0011 立川市高松町二丁目１番２７号　立川メディカルビル","042-512-8750","株式会社　ジェイピー　代表取締役　渡部　智次","後藤　正光","薬局現存"
"ファーマシーミント　柏町薬局","〒190－0004 立川市柏町四丁目２番地４１","042-536-3010","古谷　美穂子","山田　紘史","薬局現存"
"立川南口薬局","〒190－0022 立川市錦町一丁目３番２号","042-524-4148","古庄　きぬ子","古庄　きぬ子","薬局現存"
"サンキ薬局　本店","〒190－0002 立川市幸町三丁目１番地５","042-538-7771","株式会社　三輝健康社　代表取締役　谷口　達郎","宮下　靖子","薬局現存"
"あおば薬局","〒190－0002 立川市幸町四丁目２３番地６","042-536-3653","調布薬品　株式会社　代表取締役　平瀬　和宏","羽田　陽子","薬局現存"
"あさひの薬局","〒190－0023 立川市柴崎町二丁目１７番２０号　Ｓビル１階","042-529-8340","株式会社　あさひ　代表取締役　萩原　達也","萩原　礼子","薬局現存"
"有限会社　玄武堂薬局","〒190－0022 立川市錦町一丁目３番２５号","042-526-6488","有限会社　玄武堂薬局　代表取締役　山川　晋二","山川　晋二","薬局現存"
"有限会社　根本　はる薬局","〒190－0001 立川市若葉町三丁目２番地２","042-536-2671","有限会社　根本　取締役　根本　陽充","市川　雄一","薬局現存"
"井上薬局","〒190－0012 立川市曙町一丁目１９番１号　谷事務所１階","042-525-7606","株式会社　アポステータス　代表取締役　林　昭弘","野口　理子","薬局現存"
"ウエルシア薬局　立川柏町店","〒190－0004 立川市柏町一丁目２０番地２２","042-538-0301","ウエルシア薬局　株式会社　代表取締役　水野　秀晴","鈴木　愛里","薬局現存"
"ひまわり薬局","〒190－0022 立川市錦町二丁目１番３３号","042-569-7884","株式会社　アシスト　代表取締役　北村　真一","林　輝朗","薬局現存"
"アビック薬局　立川錦町店","〒190－0022 立川市錦町一丁目２０番１２号","042-595-6951","株式会社　アビック　代表取締役　山北　勝夫","久野　春佳","薬局現存"
"有限会社　根本　こはる薬局","〒190－0001 立川市若葉町四丁目１番地１　エクセルＭ１０１","042-537-7092","有限会社　根本　取締役　根本　陽充","德久　純一郎","薬局現存"
"株式会社　岩﨑薬局","〒190－0013 立川市富士見町四丁目９番１８号","042-526-2731","株式会社　岩﨑薬局　代表取締役　有賀　靖子","有賀　靖子","薬局現存"
"調剤薬局マツモトキヨシ　立川駅北口店","〒190－0012 立川市曙町二丁目１２番１号　曙ビル１階","042-548-6020","株式会社　マツモトキヨシ　代表取締役　大田　貴雄","田中館　香騎","薬局現存"
"マイサークル薬局","〒190－0022 立川市錦町二丁目１番２１号　パークユイット立川１階","042-529-5777","株式会社　Ｏｒｉｇｉｎ　代表取締役　髙田　俊弘","中村　清","薬局現存"
"オレンジ調剤薬局","〒190－0021 立川市羽衣町二丁目２２番９号　Ｖウエスト１階","042-522-0646","有限会社　七国　代表取締役　宮﨑　倫則","宮﨑　郁子","薬局現存"
"ナカジマ薬局　立川店","〒190－0015 立川市泉町９３５番地１　ららぽーと立川立飛１階","042-512-5133","株式会社　ナカジマ薬局　代表取締役社長　中島　久司","吉田　充","薬局現存"
"アイン薬局　エキュート立川店","〒190－0023 立川市柴崎町三丁目１番１号　エキュート立川４階","042-521-5338","株式会社　アインファーマシーズ　代表取締役　大石　美也","五十嵐　麻智","薬局現存"
"ウエルシア薬局　立川栄町店","〒190－0003 立川市栄町五丁目６２番地１","042-538-4391","ウエルシア薬局　株式会社　代表取締役　水野　秀晴","後藤　小百合","薬局現存"
"ファーマみらい　立川薬局","〒190－0012 立川市曙町二丁目１２番２号　ビックカメラ立川店１階","042-548-1330","株式会社　ファーマみらい　代表取締役　岡山　善郎","鰕原　克夫","薬局現存"
"株式会社　榎本調剤薬局","〒190－0013 立川市富士見町一丁目３１番１８号","042-526-2322","株式会社　榎本調剤薬局　代表取締役　鹽入　祐子","鹽入　祐子","薬局現存"
"ぺりかん薬局","〒190－0004 立川市柏町四丁目５６番地１","042-535-1184","株式会社　ケイアイエム　代表取締役　伊石　清人","石井　裕美子","薬局現存"
"トリル薬局　柴崎町店","〒190－0023 立川市柴崎町三丁目１３番２５号　松山堂ビル１階","042-526-4470","株式会社　メディカルトリル　代表取締役　氏家　由美子","佐藤　仁美","薬局現存"
"なの花薬局　立川駅前店","〒190－0023 立川市柴崎町三丁目８番２号　ビルドはなさい１階","042-548-3915","株式会社　なの花東日本　代表取締役　遠山　功","八巻　順子","薬局現存"
"なの花薬局　立川柴崎町店","〒190－0023 立川市柴崎町三丁目１２番２４号","042-527-1120","株式会社　なの花東日本　代表取締役　遠山　功","髙鳥　航平","薬局現存"
"ウェルパーク薬局　立川北口店","〒190－0012 立川市曙町二丁目２番２６号","042-595-6378","株式会社　ウェルパーク　代表取締役　島本　和彦","芝田　勝","薬局現存"
"立川南薬局","〒190－0023 立川市柴崎町三丁目７番７号　ＳＫ立川駅前ビル１階","042-595-6206","株式会社　Ｈｉｂａｒｉファーマシー　代表取締役　小野寺　俊明","小野寺　俊明","薬局現存"
"立川北口薬局","〒190－0014 立川市緑町４番地４　立川北口薬局ビル１階","042-512-8693","株式会社　地域保健企画　代表取締役　島野　清","中嶋　祥史","薬局現存"
"みかん薬局","〒190－0012 立川市曙町二丁目２番２５号　立川タクロス１階","042-526-8989","株式会社　アド　代表取締役　池田　清志","落合　由美子","薬局現存"
"スギ薬局　立川錦町店","〒190－0022 立川市錦町一丁目１８番６号　石塚家具店１階","042-519-3616","株式会社　スギ薬局　代表取締役　原　栄一","上野　貴久","薬局現存"
"そうごう薬局　立川駅北口店","〒190－0012 立川市曙町二丁目１１番１号","042-522-2779","総合メディカル　株式会社　代表取締役　貞久　雅利","藤田　和馬","薬局現存"
"オレンジパール薬局","〒190－0013 立川市富士見町一丁目３５番１４号","042-595-6851","株式会社　ゼロ１００　代表取締役　宮田　浩義","宮田　浩義","薬局現存"
"みかん薬局　エナジー店","〒190－0012 立川市曙町一丁目１５番２号　１階","042-540-0540","株式会社　アド　代表取締役　池田　清志","坪井　美保子","薬局現存"
"立川薬局","〒190－0032 立川市上砂町三丁目５５番地１５","042-538-2620","株式会社　アインファーマシーズ　代表取締役　大石　美也","渡邊　希佐子","薬局現存"
"ヤマグチ薬局高松町店","〒190－0011 立川市高松町二丁目３９番８号　第一ロイヤルハイツ１階","042-540-0251","株式会社　ヤマグチ薬局　代表取締役　山口　重雄","板場　武史","薬局現存"
"アクア薬局　立川店","〒190－0023 立川市柴崎町三丁目１０番５号　大雅ビルディング１０１","042-519-3789","有限会社　アクア・ファーマ・コーポレーション　代表取締役　原　大","坪井　裕之","薬局現存"
"石原薬局","〒190－0023 立川市柴崎町二丁目１０番３号","042-523-4067","石原　忍","石原　忍","薬局現存"
"ファーム薬局　立川店","〒190－0022 立川市錦町一丁目６番１８号　ＴＭビル１階","042-512-5505","トータルヘルスプロビジョン　株式会社　代表取締役　加瀬　博功","能戸　正彦","薬局現存"
"マロン薬局　西国立店","〒190－0022 立川市錦町四丁目３番１号　シャトー・ルミエール１階","042-595-7276","株式会社　まろん　代表取締役　九良賀野　弘久","川崎　啓子","薬局現存"
"けやき薬局","〒190－0022 立川市錦町四丁目３番２８号","042-528-8693","株式会社　日本アポック　代表取締役　金本　鎭久","杉本　和子","薬局現存"
"日本調剤　立川曙町薬局","〒190－0012 立川市曙町二丁目９番４号　野口ビル１階","042-512-9328","日本調剤　株式会社　代表取締役　三津原　庸介","髙木　寿幸","薬局現存"
"株式会社　榎本調剤薬局　立川北口店","〒190－0012 立川市曙町二丁目１１番２号　フロム中武７階","042-518-9080","株式会社　榎本調剤薬局　代表取締役　鹽入　祐子","大口　岳彦","薬局現存"
"立川なないろ薬局","〒190－0031 立川市砂川町二丁目７１番１号","042-538-7766","有限会社　延寿　取締役　倉繁　幸枝","小川　妙子","薬局現存"
"株式会社榎本調剤薬局　コクーン店","〒190－0013 立川市富士見町一丁目２６番１０号　ｃｏｍｍｕｎｉｔｙ安庵１０２","042-519-3674","株式会社　榎本調剤薬局　代表取締役　鹽入　祐子","天笠　有子","薬局現存"
"ゆう薬局","〒190－0003 立川市栄町五丁目２２番地２","042-537-1733","有限会社　三陽薬局　取締役　山内　大輔","杉本　里絵","薬局現存"
"アストロ薬局","〒190－0023 立川市柴崎町六丁目１９番２２号","042-595-9480","株式会社　大和調剤センター　代表取締役　野中　明人","波田　博文","薬局現存"
"アイン薬局　立川錦町店","〒190－0022 立川市錦町四丁目２番２２号","042-512-5083","株式会社　アインファーマシーズ　代表取締役　大石　美也","室井　智之","薬局現存"
"サンキ薬局　幸町店","〒190－0002 立川市幸町三丁目２番地３","042-538-0222","株式会社　三輝健康社　代表取締役　谷口　達郎","小林　麻依","薬局現存"
"クローバー薬局　立川店","〒190－0021 立川市羽衣町三丁目１２番３号　グリーンマンション１階Ｂ室","042-548-0095","株式会社　ハンズクローバー　代表取締役　森　祐樹","下上　裕太郎","薬局現存"
"サンドラッグ　立川羽衣町薬局","〒190－0021 立川市羽衣町二丁目６７番１号","042-548-2057","株式会社　サンドラッグ　代表取締役　貞方　宏司","宮坂　拡昌","薬局現存"
"スギ薬局　立川柴崎店","〒190－0023 立川市柴崎町三丁目４番１０号　小川ビル１階","042-518-9801","株式会社　スギ薬局　代表取締役　原　栄一","小倉　あずさ","薬局現存"
"ウェルパーク薬局　立川北口大通り店","〒190－0012 立川市曙町二丁目７番１７号","042-518-9058","株式会社　ウェルパーク　代表取締役　島本　和彦","早坂　浩太郎","薬局現存"
"アガペ西国立薬局","〒190－0021 立川市羽衣町二丁目４９番９号　","042-518-9820","株式会社　アガペ　代表取締役　藤木　一行","小坂　圭助","薬局現存"
"れんげ薬局　立川店","〒190－0004 立川市柏町三丁目３番地１０","042-537-7983","ＭＡＣアドバイザリー　株式会社　代表取締役　花木　聡","寺田　有太郎","薬局現存"
"株式会社　山ノ内薬局","〒180－0002 武蔵野市吉祥寺東町四丁目１５番１２号","0422-22-6132","株式会社　山ノ内薬局　山ノ内　信一","山ノ内　信一","薬局現存"
"ミカミ薬局","〒180－0023 武蔵野市境南町二丁目１０番２５号","0422-31-0476","三上　正利","三上　正利","薬局現存"
"和漢薬舗東洋堂稲垣薬局","〒180－0004 武蔵野市吉祥寺本町一丁目１２番４号","0422-21-4763","株式会社　三祐産業　代表取締役　稲垣　英夫","安喰　美絵子","薬局現存"
"吉祥寺調剤薬局","〒180－0004 武蔵野市吉祥寺本町一丁目１１番１９号","0422-21-7895","株式会社　吉祥寺調剤薬局　代表取締役　新保　和彦","石川　愛","薬局現存"
"吉祥寺東西薬局","〒180－0003 武蔵野市吉祥寺南町二丁目６番７号","0422-47-9646","有限会社　東西薬局　代表取締役　猪越　英明","小橋　秀行","薬局現存"
"井の頭薬局","〒180－0003 武蔵野市吉祥寺南町一丁目８番６号　カーサカルム吉祥寺１階","0422-49-5781","株式会社　井の頭薬局　代表取締役　小安　邦彦","小安　邦彦","薬局現存"
"武蔵野市薬剤師会調剤薬局","〒180－0023 武蔵野市境南町二丁目２８番１４号　吉垣ビル１階","0422-32-8550","有限会社　武蔵野薬友会　代表取締役　小安　邦彦","古荘　千秋","薬局現存"
"橋本薬局","〒180－0021 武蔵野市桜堤一丁目８番６号","0422-51-5224","ティ橋本薬品　株式会社　橋本　恭子","橋本　恭子","薬局現存"
"ミヤタ薬局","〒180－0022 武蔵野市境二丁目３番地２号","0422-53-8733","宮田　英里","宮田　英里","薬局現存"
"朝日薬局","〒180－0022 武蔵野市境二丁目２番２４号","0422-52-5311","アサヒ薬品　株式会社　代表取締役　横山　敦","川村　元弘","薬局現存"
"サンセイ北町薬局","〒180－0001 武蔵野市吉祥寺北町五丁目７番２１号　メゾンＴＡＫＡ　Ｅ棟１階","0422-36-0911","株式会社　三誠　代表取締役　本間　智久","駒木　孝次","薬局現存"
"稲垣薬局　中道店","〒180－0004 武蔵野市吉祥寺本町二丁目１１番１１号　吉田ビル１階","0422-21-8668","株式会社　三産業　代表取締役　稲垣　英夫","佐々木　将人","薬局現存"
"ひかり薬局","〒180－0012 武蔵野市緑町一丁目１番１号　武蔵野緑町ヒルズ１階","0422-52-8535","有限会社　高瀬メディカル　代表取締役　高瀬　光子","高瀬　光子","薬局現存"
"サザン調剤薬局　吉祥寺店","〒180－0002 武蔵野市吉祥寺東町一丁目４番２８号　内海ビル１階","0422-20-8420","サザンドリームファーマシー株式会社　代表取締役　中江　史顕","乙津　祐樹","薬局現存"
"けやき薬局","〒180－0004 武蔵野市吉祥寺本町一丁目４番１５号　ホワイトハウスビル１階","0422-21-6041","株式会社　井の頭薬局　代表取締役　小安　邦彦","小安　多江","薬局現存"
"むさし野中央薬局","〒180－0023 武蔵野市境南町二丁目２８番１３号","0422-30-7321","日本メディカルシステム　株式会社　代表取締役　髙木　友直","山田　浩惠","薬局現存"
"いちご薬局","〒180－0022 武蔵野市境一丁目３番１号　ネオック中央ビル地下１階","0422-50-3715","株式会社　ピーアンドピー　代表取締役　佐野　元彦","永澤　光一","薬局現存"
"セコム薬局　武蔵境","〒180－0023 武蔵野市境南町二丁目２７番７号","0422-30-3300","セコム医療システム　株式会社　代表取締役　小松　淳","大山　啓","薬局現存"
"やすらぎ薬局　吉祥寺店","〒180－0003 武蔵野市吉祥寺南町二丁目２番３号　オリエンタルビル１階","0422-76-8076","有限会社　やすらぎ　代表取締役　辨谷　知子","辨谷　知子","薬局現存"
"オリーブ薬局","〒180－0013 武蔵野市西久保三丁目２番２２号","0422-50-5430","有限会社　ムラノ　代表取締役　村野　倶子","後藤　彦","薬局現存"
"薬局トモズ　武蔵境店","〒180－0022 武蔵野市境二丁目１４番１号　スイング１階","0422-52-8911","株式会社　トモズ　代表取締役　德廣　英之","中村　和彦","薬局現存"
"薬局くだわら　吉祥寺駅北口店","〒180－0004 武蔵野市吉祥寺本町二丁目２番１４号　ＨＮビル１階","0422-28-1010","株式会社　ピーエイシー　代表取締役　久田原　啓文","矢﨑　聖子","薬局現存"
"中川薬局　三鷹駅前店","〒180－0006 武蔵野市中町一丁目２３番１４号　ベルメゾン武蔵野中町１０１","0422-59-0981","株式会社　グラム　代表取締役　中川　広美","石見　由美","薬局現存"
"境北口薬局","〒180－0022 武蔵野市境二丁目１４番８号　アドニス・モリヤ１階１０１－Ｂ号","0422-50-0600","有限会社　昌栄薬業　代表取締役　木下　博之","市川　絢子","薬局現存"
"みずき薬局","〒180－0006 武蔵野市中町二丁目２３番１号","0422-59-1050","有限会社　みずき　代表取締役　菅野　望","菅野　淳子","薬局現存"
"薬局メディクス","〒180－0004 武蔵野市吉祥寺本町一丁目２１番２号　グローリオ吉祥寺本町２１４号室","0422-20-1152","日本メディカルシステム　株式会社　髙木　友直","大島　佳菜","薬局現存"
"日本調剤　武蔵野薬局","〒180－0023 武蔵野市境南町二丁目２８番１２号","0422-39-3185","日本調剤　株式会社　代表取締役　三津原　庸介","齋藤　幸子","薬局現存"
"境調剤薬局","〒180－0022 武蔵野市境一丁目５番５号","0422-55-0313","有限会社　マルタカ　代表取締役　髙橋　健樹","髙橋　美篤","薬局現存"
"アイファ薬局　関前店","〒180－0014 武蔵野市関前二丁目５番１４号","0422-37-1491","有限会社　アイセイファーマシー　取締役　田代　俊二","小野　香織","薬局現存"
"中町ちぐさ薬局","〒180－0006 武蔵野市中町二丁目２７番７号","0422-52-6525","有限会社　ムラノ　代表取締役　村野　倶子","村野　倶子","薬局現存"
"コクミン薬局　武蔵境店","〒180－0023 武蔵野市境南町二丁目２８番１３号　ツインピークスノースビル１階","0422-30-7484","株式会社　コクミン　代表取締役　絹巻　秀展","石原　茉莉奈","薬局現存"
"セーブファーマ薬局","〒180－0013 武蔵野市西久保二丁目２０番７号","0422-50-0231","栄和産業　株式会社　代表取締役　飯川　和智","飯川　和智","薬局現存"
"かえで薬局","〒180－0023 武蔵野市境南町二丁目２８番１７号　ロワール境南１階","0422-39-0870","株式会社　ＫＡＵＩ　代表取締役　高野　和美","高野　和美","薬局現存"
"稲垣薬局　公園通り店","〒180－0004 武蔵野市吉祥寺本町一丁目１０番７号　プレイス吉祥寺ビル１階","0422-23-8388","株式会社　三産業　代表取締役　稲垣　英夫","関　美咲","薬局現存"
"オレンジ薬局","〒180－0023 武蔵野市境南町二丁目７番２１号　ダイヤパレス武蔵境Ⅰ１０２号","0422-39-3007","有限会社　ムラノ　代表取締役　村野　倶子","名古屋　喜美子","薬局現存"
"稲垣薬局　サンロード店","〒180－0004 武蔵野市吉祥寺本町一丁目１１番２７号　瑠璃ビル１階","0422-23-8083","株式会社　三産業　代表取締役　稲垣　英夫","荒井　剛史","薬局現存"
"スギ薬局　吉祥寺南町店","〒180－0003 武蔵野市吉祥寺南町二丁目１７番１号","0422-29-0051","株式会社　スギ薬局　代表取締役　榊原　栄一","水上　翔子","薬局現存"
"稲垣薬局　北町店","〒180－0001 武蔵野市吉祥寺北町四丁目１１番２０号　北祥ビル１０２号","0422-59-1338","株式会社　三産業　代表取締役　稲垣　英夫","伊集　洋子","薬局現存"
"サザン調剤薬局　本町店","〒180－0004 武蔵野市吉祥寺本町四丁目４番１５号","0422-27-5562","サザンドリームファーマシー株式会社　代表取締役　中江　史顕","石原　知和","薬局現存"
"ステラ薬局","〒180－0014 武蔵野市関前三丁目３番１４号　ビバーチェ武蔵野１階","0422-56-8159","エーイーエム　株式会社　代表取締役　安田　明","安田　農","薬局現存"
"稲垣薬局　吉祥寺本町店","〒180－0004 武蔵野市吉祥寺本町二丁目１０番１２号　コリドール吉祥寺１０１","0422-23-6378","株式会社　三産業　代表取締役　稲垣　夫","畠山　貴美子","薬局現存"
"東洋堂稲垣薬局　西一条店","〒180－0004 武蔵野市吉祥寺本町二丁目１０番８号　フィオリトゥーラ・ヤナモト吉祥寺Ⅰ１階","0422-23-3830","株式会社　三産業　代表取締役　稲垣　英夫","畦地　真依子","薬局現存"
"吉祥寺サン薬局","〒180－0003 武蔵野市吉祥寺南町一丁目６番１号　吉祥寺スバルビル２階","0422-47-3371","株式会社　ハクシンメディカル　代表取締役　佐藤　博之","渡辺　拓也","薬局現存"
"しらかば薬局","〒180－0004 武蔵野市吉祥寺本町四丁目７番９号","0422-20-4471","有限会社　しらかば　代表取締役　板垣　裕美","板垣　裕美","薬局現存"
"武蔵野管理センター薬局","〒180－0006 武蔵野市中町三丁目７番１号　武蔵野コーポラス１０５号","0422-55-6710","一般社団法人　武蔵野市薬剤師会　代表理事　小安　邦彦","岡本　惠津子","薬局現存"
